,Unnamed: 0,ID_NOTICE_CN,TED_NOTICE_URL,CAE_NAME,CAE_TOWN,CAE_POSTAL_CODE,CAE_TYPE,MAIN_ACTIVITY,TYPE_OF_CONTRACT,CPV,VALUE_EURO_FIN_1,DURATION,TAL_LOCATION_NUTS
0,29,201865,ted.europa.eu/udl?uri=TED:NOTICE:65-2018:TEXT:EN:HTML,Ayuntamiento de Barcelona,Barcelona,08018,3,General public\services,W,45112100.0,3288261.39,,ES511
1,624,2018169,ted.europa.eu/udl?uri=TED:NOTICE:169-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Utrera,Utrera,41710,3,General public\services,U,44190000.0,348538.4,,ES618
2,1055,2018174,ted.europa.eu/udl?uri=TED:NOTICE:174-2018:TEXT:EN:HTML,Gerencia de Gestión Integrada de Vigo,Vigo,36211,3,Health,U,33141200.0,471052.8,,ES114
3,1279,2018201,ted.europa.eu/udl?uri=TED:NOTICE:201-2018:TEXT:EN:HTML,Excmo. Ayuntamiento de Dos Hermanas,Dos Hermanas,41701,3,General public\services,U,34928471.0,991350.0,,ES618
4,1471,2018234,ted.europa.eu/udl?uri=TED:NOTICE:234-2018:TEXT:EN:HTML,Consorci Mar Parc de Salut de Barcelona,Barcelona,08003,3,Health,U,48800000.0,710000.0,,ES511
5,1472,2018235,ted.europa.eu/udl?uri=TED:NOTICE:235-2018:TEXT:EN:HTML,Consorci Mar Parc de Salut de Barcelona,Barcelona,08003,3,Health,U,33696800.0,1609056.0,,ES511
6,1754,2018413,ted.europa.eu/udl?uri=TED:NOTICE:413-2018:TEXT:EN:HTML,Consorcio del Centro de Cultura Contemporánea de Barcelona---Consorcio del Parque Natural de la Sierra de Collserola---Diputación de Barcelona / Subdirección de Logística---Instituto del Teatro---Organismo de Gestión Tributaria,Barcelona---Barcelona---Barcelona---Barcelona---Barcelona,08001---08017---08036---08004---08028,3,General public\services,S,64110000.0,5944231.87,,ES511
7,1757,2018416,ted.europa.eu/udl?uri=TED:NOTICE:416-2018:TEXT:EN:HTML,Dirección General de Carreteras,Madrid,28071,1,General public\services,S,71520000.0,717858.37,,ES300
8,1759,2018418,ted.europa.eu/udl?uri=TED:NOTICE:418-2018:TEXT:EN:HTML,Departamento de Interior,Barcelona,08009,3,Public Order and Safety,S,50700000.0,1502400.0,,ES511
10,1775,2018426,ted.europa.eu/udl?uri=TED:NOTICE:426-2018:TEXT:EN:HTML,Secretaría de Estado de Servicios Sociales e Igualdad,Madrid,28014,1,Social protection,S,79512000.0,1865700.71,,ES300
